"","p_val","odds","extreme_WT","extreme_MU","rest_WT","rest_MU","gene","extreme","p_adj","p_adj_star"
"54",1.15022928535963e-83,0.0989899822744868,3454,99,811,235,"BRAF","1",6.4527862908675e-81,"****"
"55",0.000286738416522995,5.66726299706688,3496,57,1043,3,"BRCA1","1",0.00180741855808315,"**"
"56",0.00581583076449802,2.23894433704365,3463,90,1034,12,"BRCA2","1",0.0196547051739963,"*"
"58",0.00285815004766035,Inf,3528,25,1046,0,"BRD4","1",0.0107612226626675,"*"
"59",0.00143092008463679,4.96140532132036,3503,50,1043,3,"BRIP1","1",0.00647375941517128,"**"
"61",9.48865802992372e-06,Inf,3507,46,1046,0,"BTK","1",0.000108635452138514,"***"
"63",3.23249895518803e-07,11.8674404959122,3474,79,1044,2,"CACNA1D","1",5.66697473081402e-06,"****"
"65",8.27203541052446e-06,5.34812951046035,3464,89,1041,5,"CAMTA1","1",0.000100882866637048,"***"
"67",0.0155990418999722,2.37980113969863,3489,64,1038,8,"CARD11","1",0.0405141782679834,"*"
"69",0.000963476141689826,5.06206937622979,3502,51,1043,3,"CASP8","1",0.00495880839897241,"**"
"70",0.000100966597723269,Inf,3516,37,1046,0,"CBFA2T3","1",0.000820902338010929,"***"
"71",0.0197263943412867,Inf,3535,18,1046,0,"CBFB","1",0.0477291034437272,"*"
"85",0.0135548776229251,4.74316167921885,3521,32,1044,2,"CDC73","1",0.036739794092436,"*"
"86",8.90765510749369e-07,Inf,3498,55,1046,0,"CDH1","1",1.38810958758443e-05,"****"
"87",2.62298448149655e-07,5.53663113616226,3443,110,1040,6,"CDH11","1",5.0741182555847e-06,"****"
"88",0.012497605191235,2.59251461084556,3492,61,1039,7,"CDK12","1",0.0350557825614142,"*"
"90",0.0187040946158125,Inf,3536,17,1046,0,"CDK6","1",0.0462246567377569,"*"
"92",2.44455922434831e-05,6.78219667662386,3485,68,1043,3,"CDKN2A","1",0.0002246921735808,"***"
"97",1.33735941821487e-07,4.5150156998585,3419,134,1037,9,"CHD4","1",3.41026651644792e-06,"****"
"99",0.00490946574962865,3.7176010533334,3503,50,1042,4,"CIC","1",0.0168535859385211,"*"
"101",0.000222251597867355,7.75139120574698,3501,52,1044,2,"CLIP1","1",0.00146686054592454,"**"
"105",0.000343390634815086,12.4975306494292,3511,42,1045,1,"CNOT3","1",0.00209393637099199,"**"
"106",0.00184623489454144,6.39344531202716,3510,43,1044,2,"CNTRL","1",0.00778750207396801,"**"
"112",0.00615585121399233,5.49201039518991,3516,37,1044,2,"CREBBP","1",0.0201955118774836,"*"
"117",0.000644505252861508,5.26357004330719,3500,53,1043,3,"CTCF","1",0.00354125711071174,"**"
"118",7.0770141953058e-11,0.327669755209126,3469,84,974,72,"CTNNB1","1",3.97020496356655e-09,"****"
"119",0.0124614962035542,2.54929078366518,3493,60,1039,7,"CUX1","1",0.0350557825614142,"*"
"121",0.00198800522554964,10.0941291192931,3519,34,1045,1,"CYLD","1",0.00820052155539225,"**"
"123",0.000510419425342811,7.14699874359445,3505,48,1044,2,"DCTN1","1",0.00298276351684705,"**"
"126",0.0016129175413914,4.17080225905131,3497,56,1042,4,"DDR2","1",0.00706911516187948,"**"
"128",0.000875177359862561,11.5949728421564,3514,39,1045,1,"DDX3X","1",0.00454606017484164,"**"
"132",0.000587599477265189,3.58458165503933,3481,72,1040,6,"DICER1","1",0.00334917727646382,"**"
"134",0.0146916788870836,3.85788146026222,3514,39,1043,3,"DNM2","1",0.0383350318867623,"*"
"137",0.0101463269478919,3.41632780840963,3507,46,1042,4,"EBF1","1",0.0304389808436757,"*"
"138",4.76916191706489e-05,5.46335651010858,3480,73,1042,4,"EGFR","1",0.000418046849292719,"***"
"141",0.0120885901734859,8.29873652257947,3525,28,1045,1,"ELF4","1",0.0344248684635816,"*"
"145",2.0163585391759e-05,4.50389819642642,3463,90,1040,6,"EP300","1",0.000198452129908365,"***"
"146",0.00276147985056831,6.09262474718746,3512,41,1044,2,"EPAS1","1",0.010682603212278,"*"
"147",0.00107712071932142,Inf,3525,28,1046,0,"EPS15","1",0.00539522074588678,"**"
"148",1.06544256073901e-06,5.90424247201364,3455,98,1041,5,"ERBB2","1",1.61544128803943e-05,"****"
"149",7.56803593981981e-10,11.4175291905025,3440,113,1043,3,"ERBB3","1",3.8596983293081e-08,"****"
"150",5.20426322796743e-05,3.11859581830942,3439,114,1035,11,"ERBB4","1",0.000449167949367651,"***"
"152",0.00713453795848717,3.2126560291973,3499,54,1041,5,"ERCC2","1",0.0230941866113766,"*"
"153",0.01831656745905,7.70162984732364,3527,26,1045,1,"ERCC3","1",0.0456693081978981,"*"
"155",0.0143924994470626,3.75790346866869,3515,38,1043,3,"ERCC5","1",0.0379070055859254,"*"
"157",0.0120885901734859,8.29873652257947,3525,28,1045,1,"ESR1","1",0.0344248684635816,"*"
"159",0.00478789611798052,8.89652121802501,3523,30,1045,1,"ETV1","1",0.0167875607636692,"*"
"162",0.00279918479893916,Inf,3529,24,1046,0,"ETV6","1",0.010682603212278,"*"
"164",0.00128059885630437,10.6939545759687,3517,36,1045,1,"EXT1","1",0.00593732197013842,"**"
"166",0.0113455338402009,8.00009850131932,3526,27,1045,1,"EZH2","1",0.0336764258431361,"*"
"168",0.00615585121399233,5.49201039518991,3516,37,1044,2,"FANCA","1",0.0201955118774836,"*"
"175",1.28505044954713e-08,5.68088190056778,3422,131,1039,7,"FAT1","1",4.24066648350551e-07,"****"
"176",4.25457167458075e-16,6.09072518638394,3300,253,1033,13,"FAT4","1",3.40973529919972e-14,"****"
"178",1.45433132580273e-14,16.0686070112427,3396,157,1043,3,"FBXW7","1",1.01984984221916e-12,"****"
"180",0.01831656745905,7.70162984732364,3527,26,1045,1,"FCRL4","1",0.0456693081978981,"*"
"185",4.05212010872166e-06,18.2497352823692,3492,61,1045,1,"FGFR2","1",5.54448629510452e-05,"****"
"186",9.69259345164884e-06,6.07599648190251,3472,81,1042,4,"FGFR3","1",0.0001087508985275,"***"
"194",1.62615443126268e-05,7.08749198858596,3482,71,1043,3,"FLT4","1",0.000168784809821111,"***"
"198",0.0116155259565797,Inf,3534,19,1046,0,"FOXO3","1",0.0338599485197976,"*"
"199",0.01831656745905,7.70162984732364,3527,26,1045,1,"FOXO4","1",0.0456693081978981,"*"
"200",0.0135548776229251,4.74316167921885,3521,32,1044,2,"FOXP1","1",0.036739794092436,"*"
"202",0.0120885901734859,8.29873652257947,3525,28,1045,1,"FUBP1","1",0.0344248684635816,"*"
"204",0.000672362426666259,Inf,3523,30,1046,0,"GAS7","1",0.0036268780899978,"**"
"205",0.0197263943412867,Inf,3535,18,1046,0,"GATA1","1",0.0477291034437272,"*"
"207",0.000221908933014694,13.1000930802938,3509,44,1045,1,"GATA3","1",0.00146686054592454,"**"
